Year,Month,Region,Model,Units_Sold,Avg_Price_EUR,Revenue_EUR,BEV_Share,Premium_Share,GDP_Growth,Fuel_Price_Index
2018,Jan,Europe,3 Series,7822.0,47482,371404204,0.011,19.12,3.5,1.0
2018,1,Europe,5 Series,10280.0,61685,634121800,0.019,19.12,3.5,1.0
2018,1,Europe,X3,3105.0,58433,181434465,0.022,19.12,3.5,1.0
2018,1,Europe,X5,7420.0,67955,504226100,0.021,19.12,3.5,1.0
2018,1,Europe,X7,8474.0,92300,782150200,0.035,19.12,3.5,1.0
2018,Jan,Europe,i4,10607.0,64082,679717774,0.035,19.12,3.5,1.0
2018,1,Europe,iX,4805.0,73975,355449875,0.016,19.12,3.5,1.0
2018,1,Europe,MINI,2554.0,43005,109834770,0.013,19.12,3.5,1.0
2018,1,China,3 Series,3826.0,48068,183908168,0.021,17.6,2.37,1.02
2018,1,China,5 Series,7498.0,62435,468137630,0.015,17.6,2.37,1.02
2018,1,China,X3,10727.0,57363,615332901,0.014,17.6,2.37,1.02
2018,1,China,X5,8298.0,68390,567500220,0.017,17.6,2.37,1.02
2018,Jan,China,X7,9119.0,90034,821020046,0.02,17.6,2.37,1.02
2018,1,China,i4,5369.0,64955,348743395,0.009,17.6,2.37,1.02
2018,1,China,iX,3880.0,76461,296668680,0.007,17.6,2.37,1.02
2018,Jan,China,MINI,6025.0,43893,264455325,0.031,17.6,2.37,1.02
2018,1,USA,3 Series,9622.0,46337,445854614,0.01,20.49,0.82,0.97
2018,1,USA,5 Series,3209.0,61076,195992884,0.004,20.49,0.82,0.97
2018,1,USA,X3,7017.0,56379,395611443,0.007,20.49,0.82,0.97
2018,1,USA,X5,10624.0,70112,744869888,0.011,20.49,0.82,0.97
2018,1,USA,X7,7387.0,91698,677373126,0.026,20.49,0.82,0.97
2018,1,USA,i4,7972.0,66561,530624292,0.029,20.49,0.82,0.97
2018,1,USA,iX,8249.0,73502,606317998,0.011,20.49,0.82,0.97
2018,1,USA,MINI,4706.0,43645,205393370,0.019,20.49,0.82,0.97
2018,Jan,RestOfWorld,3 Series,10121.0,47485,480595685,-0.0,6.28,4.18,0.97
2018,1,RestOfWorld,5 Series,6023.0,61028,367571644,0.031,6.28,4.18,0.97
2018,1,RestOfWorld,X3,9390.0,58842,552526380,0.012,6.28,4.18,0.97
2018,Jan,RestOfWorld,X5,6638.0,67206,446113428,0.012,6.28,4.18,0.97
2018,Jan,RestOfWorld,X7,7252.0,93762,679962024,0.018,6.28,4.18,0.97
2018,1,RestOfWorld,i4,3194.0,65790,210133260,0.01,6.28,4.18,0.97
2018,1,RestOfWorld,iX,9412.0,74757,703612884,0.021,6.28,4.18,0.97
2018,Jan,RestOfWorld,MINI,9570.0,42278,404600460,0.0,6.28,4.18,0.97
2018,2,Europe,3 Series,5374.0,47597,255786278,0.023,15.6,4.48,0.98
2018,2,Europe,5 Series,4933.0,60795,299901735,0.029,15.6,4.48,0.98
2018,2,Europe,X3,5820.0,57663,335598660,0.03,15.6,4.48,0.98
2018,2,Europe,X5,7687.0,70302,540411474,0.018,15.6,4.48,0.98
2018,2,Europe,X7,9397.0,92680,870913960,0.028,15.6,4.48,0.98
2018,2,Europe,i4,7945.0,64282,510720490,0.007,15.6,4.48,0.98
2018,2,Europe,iX,9524.0,73317,698271108,0.021,15.6,4.48,0.98
2018,2,Europe,MINI,5935.0,43296,256961760,0.008,15.6,4.48,0.98
2018,2,China,3 Series,3795.0,47520,180338400,0.011,20.6,2.66,0.98
2018,2,China,5 Series,8630.0,60563,522658690,0.034,20.6,2.66,0.98
2018,2,China,X3,3601.0,59184,213121584,0.02,20.6,2.66,0.98
2018,2,China,X5,3929.0,70696,277764584,0.003,20.6,2.66,0.98
2018,2,China,X7,3038.0,91589,278247382,0.021,20.6,2.66,0.98
2018,2,China,i4,3186.0,64759,206322174,0.045,20.6,2.66,0.98
2018,2,China,iX,9397.0,74076,696092172,0.034,20.6,2.66,0.98
2018,2,China,MINI,3996.0,42777,170936892,0.031,20.6,2.66,0.98
2018,2,USA,3 Series,10885.0,49681,540777685,0.019,15.66,4.14,1.02
2018,2,USA,5 Series,2562.0,63029,161480298,0.034,15.66,4.14,1.02
2018,2,USA,X3,4208.0,59272,249416576,0.025,15.66,4.14,1.02
2018,2,USA,X5,11247.0,67186,755640942,0.025,15.66,4.14,1.02
2018,2,USA,X7,4760.0,93002,442689520,0.021,15.66,4.14,1.02
2018,2,USA,i4,8593.0,64369,553122817,0.015,15.66,4.14,1.02
2018,2,USA,iX,4261.0,74734,318441574,0.015,15.66,4.14,1.02
2018,2,USA,MINI,4125.0,40488,167013000,0.031,15.66,4.14,1.02
2018,2,RestOfWorld,3 Series,6874.0,47969,329738906,0.032,6.87,2.08,1.05
2018,2,RestOfWorld,5 Series,7632.0,63369,483632208,0.029,6.87,2.08,1.05
2018,2,RestOfWorld,X3,2623.0,57016,149552968,0.03,6.87,2.08,1.05
2018,2,RestOfWorld,X5,4321.0,69944,302228024,0.025,6.87,2.08,1.05
2018,2,RestOfWorld,X7,7526.0,91183,686243258,0.021,6.87,2.08,1.05
2018,2,RestOfWorld,i4,9175.0,65056,596888800,0.025,6.87,2.08,1.05
2018,2,RestOfWorld,iX,9405.0,74154,697418370,0.033,6.87,2.08,1.05
2018,2,RestOfWorld,MINI,6649.0,42199,280581151,0.011,6.87,2.08,1.05
2018,3,Europe,3 Series,4562.0,47884,218446808,0.023,19.96,3.92,0.99
2018,3,Europe,5 Series,6007.0,61919,371947433,0.013,19.96,3.92,0.99
2018,3,Europe,X3,8220.0,59791,491482020,0.039,19.96,3.92,0.99
2018,3,Europe,X5,3801.0,68704,261143904,0.025,19.96,3.92,0.99
2018,3,Europe,X7,11937.0,90815,1084058655,0.02,19.96,3.92,0.99
2018,3,Europe,i4,7135.0,64527,14334817120,0.016,19.96,3.92,0.99
2018,3,Europe,iX,9366.0,73639,689702874,0.029,19.96,3.92,0.99
2018,3,Europe,MINI,7760.0,40954,317803040,0.03,19.96,3.92,0.99
2018,3,China,3 Series,6529.0,48074,313875146,0.029,15.71,1.63,0.98
2018,3,China,5 Series,2997.0,63348,189853956,0.02,15.71,1.63,0.98
2018,3,China,X3,8132.0,57504,467622528,0.034,15.71,1.63,0.98
2018,3,China,X5,11545.0,67815,782924175,0.032,15.71,1.63,0.98
2018,3,China,X7,11201.0,90016,1008269216,0.02,15.71,1.63,0.98
2018,3,China,i4,10822.0,64243,695237746,0.019,15.71,1.63,0.98
2018,3,China,iX,5175.0,73180,378706500,0.019,15.71,1.63,0.98
2018,3,China,MINI,3416.0,43170,147468720,0.027,15.71,1.63,0.98
2018,3,USA,3 Series,6483.0,47758,309615114,0.022,15.88,2.05,0.98
2018,3,USA,5 Series,10129.0,60569,613503401,0.008,15.88,2.05,0.98
2018,3,USA,X3,8736.0,59359,518560224,0.011,15.88,2.05,0.98
2018,3,USA,X5,7165.0,69901,500840665,0.022,15.88,2.05,0.98
2018,3,USA,X7,4604.0,91409,420847036,0.021,15.88,2.05,0.98
2018,3,USA,i4,3612.0,66175,239024100,0.009,15.88,2.05,0.98
2018,3,USA,iX,11655.0,76110,887062050,0.024,15.88,2.05,0.98
2018,3,USA,MINI,8905.0,41705,371383025,0.013,15.88,2.05,0.98
2018,3,RestOfWorld,3 Series,12337.0,49847,614962439,0.008,6.73,3.52,1.02
2018,3,RestOfWorld,5 Series,10070.0,60399,608217930,0.025,6.73,3.52,1.02
2018,3,RestOfWorld,X3,12829.0,57982,743851078,0.004,6.73,3.52,1.02
2018,3,RestOfWorld,X5,3688.0,67050,247280400,0.04,6.73,3.52,1.02
2018,3,RestOfWorld,X7,6895.0,92361,636829095,0.002,6.73,3.52,1.02
2018,3,RestOfWorld,i4,11009.0,65352,719460168,0.024,6.73,3.52,1.02
2018,3,RestOfWorld,iX,8004.0,75491,604229964,0.015,6.73,3.52,1.02
2018,3,RestOfWorld,MINI,6186.0,41595,257306670,0.031,6.73,3.52,1.02
2018,4,Europe,3 Series,3207.0,48914,156867198,0.016,14.6,3.55,0.96
2018,4,Europe,5 Series,8992.0,62983,566343136,0.007,14.6,3.55,0.96
2018,4,Europe,X3,9962.0,57081,568640922,0.007,14.6,3.55,0.96
2018,4,Europe,X5,10860.0,70545,766118700,0.0,14.6,3.55,0.96
2018,4,Europe,X7,10267.0,91931,943855577,0.019,14.6,3.55,0.96
2018,4,Europe,i4,11118.0,64664,718934352,0.012,14.6,3.55,0.96
2018,4,Europe,iX,3401.0,74119,252078719,0.019,14.6,3.55,0.96
2018,4,Europe,MINI,9789.0,41141,402729249,0.028,14.6,3.55,0.96
2018,4,China,3 Series,5550.0,46580,258519000,0.041,15.96,3.95,1.04
2018,4,China,5 Series,9028.0,62294,562390232,0.022,15.96,3.95,1.04
2018,4,China,X3,10098.0,56996,575545608,0.013,15.96,3.95,1.04
2018,4,China,X5,9265.0,69744,646178160,0.007,15.96,3.95,1.04
2018,4,China,X7,11338.0,91227,1034331726,0.024,15.96,3.95,1.04
2018,4,China,i4,8661.0,65479,567113619,0.028,15.96,3.95,1.04
2018,4,China,iX,8534.0,74757,637976238,0.007,15.96,3.95,1.04
2018,4,China,MINI,6604.0,42070,277830280,0.019,15.96,3.95,1.04
2018,4,USA,3 Series,4739.0,46515,220434585,0.052,14.11,2.68,1.02
2018,4,USA,5 Series,5072.0,60335,306019120,0.021,14.11,2.68,1.02
2018,4,USA,X3,7959.0,57931,461072829,0.032,14.11,2.68,1.02
2018,4,USA,X5,8866.0,70746,627234036,0.025,14.11,2.68,1.02
2018,4,USA,X7,4680.0,93498,437570640,0.022,14.11,2.68,1.02
2018,4,USA,i4,7820.0,64291,502755620,0.017,14.11,2.68,1.02
2018,4,USA,iX,9976.0,74066,738882416,0.025,14.11,2.68,1.02
2018,4,USA,MINI,9711.0,40284,391197924,0.031,14.11,2.68,1.02
2018,4,RestOfWorld,3 Series,2771.0,46825,129752075,0.02,5.64,2.51,1.01
2018,4,RestOfWorld,5 Series,9659.0,61649,595467691,0.003,5.64,2.51,1.01
2018,4,RestOfWorld,X3,2766.0,59068,163382088,0.019,5.64,2.51,1.01
2018,4,RestOfWorld,X5,10798.0,70465,760881070,0.015,5.64,2.51,1.01
2018,4,RestOfWorld,X7,8063.0,93760,755986880,0.027,5.64,2.51,1.01
2018,4,RestOfWorld,i4,3440.0,64571,222124240,0.026,5.64,2.51,1.01
2018,4,RestOfWorld,iX,7194.0,75710,544657740,0.025,5.64,2.51,1.01
2018,4,RestOfWorld,MINI,9364.0,43807,410208748,0.005,5.64,2.51,1.01
2018,5,Europe,3 Series,5143.0,47365,243598195,0.033,19.26,2.78,1.03
2018,5,Europe,5 Series,6642.0,60698,403156116,0.02,19.26,2.78,1.03
2018,5,Europe,X3,9201.0,59455,547045455,0.023,19.26,2.78,1.03
2018,5,Europe,X5,7073.0,70577,499191121,0.019,19.26,2.78,1.03
2018,5,Europe,X7,7586.0,91492,694058312,0.031,19.26,2.78,1.03
2018,5,Europe,i4,9643.0,66636,642570948,0.041,19.26,2.78,1.03
2018,5,Europe,iX,3483.0,76294,265732002,0.013,19.26,2.78,1.03
2018,5,Europe,MINI,6867.0,41156,282618252,0.02,19.26,2.78,1.03
2018,5,China,3 Series,6978.0,48539,338705142,0.024,18.94,3.32,1.05
2018,5,China,5 Series,9078.0,63324,574855272,0.014,18.94,3.32,1.05
2018,5,China,X3,3839.0,57416,220420024,0.006,18.94,3.32,1.05
2018,5,China,X5,8966.0,69681,624759846,0.016,18.94,3.32,1.05
2018,5,China,X7,11313.0,90510,1023939630,0.032,18.94,3.32,1.05
2018,5,China,i4,9494.0,63216,600172704,0.015,18.94,3.32,1.05
2018,5,China,iX,3632.0,76486,277797152,0.013,18.94,3.32,1.05
2018,5,China,MINI,4094.0,42492,173962248,0.034,18.94,3.32,1.05
2018,5,USA,3 Series,6429.0,47081,302683749,0.02,15.74,4.48,0.97
2018,5,USA,5 Series,8663.0,60455,523721665,0.017,15.74,4.48,0.97
2018,5,USA,X3,11006.0,57996,638303976,0.033,15.74,4.48,0.97
2018,5,USA,X5,2853.0,68214,194614542,0.028,15.74,4.48,0.97
2018,5,USA,X7,3829.0,90933,348182457,0.027,15.74,4.48,0.97
2018,5,USA,i4,2501.0,65105,162827605,0.016,15.74,4.48,0.97
2018,5,USA,iX,5820.0,73814,429597480,0.02,15.74,4.48,0.97
2018,5,USA,MINI,6341.0,42933,272238153,0.024,15.74,4.48,0.97
2018,5,RestOfWorld,3 Series,8255.0,49486,408506930,0.035,5.15,3.84,0.97
2018,5,RestOfWorld,5 Series,5779.0,61396,354807484,0.03,5.15,3.84,0.97
2018,5,RestOfWorld,X3,10025.0,59018,591655450,0.034,5.15,3.84,0.97
2018,5,RestOfWorld,X5,3660.0,69783,255405780,0.013,5.15,3.84,0.97
2018,5,RestOfWorld,X7,7184.0,90372,649232448,0.011,5.15,3.84,0.97
2018,5,RestOfWorld,i4,11245.0,64371,723851895,0.018,5.15,3.84,0.97
2018,5,RestOfWorld,iX,8853.0,76249,675032397,-0.001,5.15,3.84,0.97
2018,5,RestOfWorld,MINI,2887.0,42779,123502973,0.015,5.15,3.84,0.97
2018,6,Europe,3 Series,10562.0,49795,525934790,0.001,17.17,1.67,0.98
2018,6,Europe,5 Series,5806.0,62799,364610994,0.024,17.17,1.67,0.98
2018,6,Europe,X3,3766.0,56708,213562328,0.019,17.17,1.67,0.98
2018,6,Europe,X5,4771.0,68944,328931824,0.026,17.17,1.67,0.98
2018,6,Europe,X7,2759.0,90223,248925257,0.032,17.17,1.67,0.98
2018,6,Europe,i4,10943.0,63062,690087466,0.015,17.17,1.67,0.98
2018,6,Europe,iX,7067.0,74633,527431411,0.023,17.17,1.67,0.98
2018,6,Europe,MINI,10742.0,40510,435158420,0.032,17.17,1.67,0.98
2018,6,China,3 Series,4950.0,48818,241649100,0.036,20.05,2.89,1.0
2018,6,China,5 Series,4356.0,63094,274837464,0.022,20.05,2.89,1.0
2018,6,China,X3,10604.0,56082,594693528,0.029,20.05,2.89,1.0
2018,6,China,X5,10719.0,69504,745013376,0.028,20.05,2.89,1.0
2018,6,China,X7,9346.0,93843,877056678,0.012,20.05,2.89,1.0
2018,6,China,i4,8871.0,63448,562847208,0.011,20.05,2.89,1.0
2018,6,China,iX,8223.0,73770,606610710,-0.015,20.05,2.89,1.0
2018,6,China,MINI,7549.0,41984,316937216,0.017,20.05,2.89,1.0
2018,6,USA,3 Series,9948.0,46577,463347996,0.026,20.14,5.06,1.05
2018,6,USA,5 Series,7733.0,62150,480605950,0.034,20.14,5.06,1.05
2018,6,USA,X3,10319.0,58845,607221555,0.031,20.14,5.06,1.05
2018,6,USA,X5,10452.0,69482,726225864,0.002,20.14,5.06,1.05
2018,6,USA,X7,4214.0,91358,384982612,-0.0,20.14,5.06,1.05
2018,6,USA,i4,8376.0,63541,532219416,0.04,20.14,5.06,1.05
2018,6,USA,iX,8089.0,73796,596935844,0.039,20.14,5.06,1.05
2018,6,USA,MINI,10497.0,40137,421318089,0.022,20.14,5.06,1.05
2018,6,RestOfWorld,3 Series,7330.0,46204,338675320,0.02,5.52,2.99,1.02
2018,6,RestOfWorld,5 Series,9645.0,63818,615524610,0.024,5.52,2.99,1.02
2018,6,RestOfWorld,X3,4846.0,58895,285405170,-0.002,5.52,2.99,1.02
2018,6,RestOfWorld,X5,9611.0,68994,663101334,0.04,5.52,2.99,1.02
2018,6,RestOfWorld,X7,9384.0,91719,860691096,0.009,5.52,2.99,1.02
2018,6,RestOfWorld,i4,12069.0,66266,799764354,0.025,5.52,2.99,1.02
2018,6,RestOfWorld,iX,4825.0,74969,361725425,0.041,5.52,2.99,1.02
2018,6,RestOfWorld,MINI,10204.0,43122,440016888,0.017,5.52,2.99,1.02
2018,7,Europe,3 Series,8432.0,47968,404466176,0.028,14.62,2.18,0.98
2018,7,Europe,5 Series,9253.0,62841,581467773,0.017,14.62,2.18,0.98
2018,7,Europe,X3,8255.0,58397,482067235,0.013,14.62,2.18,0.98
2018,7,Europe,X5,5109.0,67047,342543123,0.022,14.62,2.18,0.98
2018,7,Europe,X7,5836.0,91715,535248740,0.022,14.62,2.18,0.98
2018,7,Europe,i4,2661.0,63638,169340718,0.012,14.62,2.18,0.98
2018,7,Europe,iX,2427.0,75125,182328375,0.044,14.62,2.18,0.98
2018,7,Europe,MINI,2720.0,42713,116179360,0.017,14.62,2.18,0.98
2018,7,China,3 Series,7951.0,47215,375406465,0.008,17.58,3.58,1.01
2018,7,China,5 Series,10119.0,61654,623876826,0.003,17.58,3.58,1.01
2018,7,China,X3,10834.0,58133,629812922,0.032,17.58,3.58,1.01
2018,7,China,X5,9633.0,67125,646615125,0.022,17.58,3.58,1.01
2018,7,China,X7,6775.0,91603,620610325,0.022,17.58,3.58,1.01
2018,7,China,i4,9557.0,63066,602721762,0.029,17.58,3.58,1.01
2018,7,China,iX,2595.0,73110,189720450,0.011,17.58,3.58,1.01
2018,7,China,MINI,9920.0,43440,430924800,0.02,17.58,3.58,1.01
2018,7,USA,3 Series,4977.0,47975,238771575,0.029,16.36,0.99,1.03
2018,7,USA,5 Series,3207.0,61989,198798723,0.039,16.36,0.99,1.03
2018,7,USA,X3,5996.0,58671,351791316,0.014,16.36,0.99,1.03
2018,7,USA,X5,9011.0,70517,635428687,0.007,16.36,0.99,1.03
2018,7,USA,X7,5923.0,92595,548440185,-0.005,16.36,0.99,1.03
2018,7,USA,i4,11030.0,64246,708633380,0.027,16.36,0.99,1.03
2018,7,USA,iX,2379.0,73003,173674137,0.024,16.36,0.99,1.03
